comparison_id,experiment,comparison_group,workload_id,baseline_point,candidate_point,metric,baseline,candidate,delta,delta_percent,formula,status
architecture-315mhz:active:area_combinational_um2,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,area_combinational_um2,620022.075238,187611.665954,-432410.409284,-69.741131252143902718285879019788062857746542395053148567294721951607700702458646,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:energy_per_block_nj,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,energy_per_block_nj,471.45938740079365079365079365079365079365079365079365079365079365079365079365079,118.57680803571428571428571428571428571428571428571428571428571428571428571428571,-352.88257936507936507936507936507936507936507936507936507936507936507936507936508,-74.848987801591778315206405515632724449698613713828943999215118645574646122800528,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:energy_per_compressed_byte_nj,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,energy_per_compressed_byte_nj,0.64100528538517151705458979422269700991658843460339041576295145295825105478402555,0.16121931751966592211323686510634165290861415946392153054287656599009420219481402,-0.47978596786550559494135292911635535700797427513946888522007488696815685258921153,-74.848987801591778315206405515632724449698613713828943999215118645574646122800528,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:energy_per_raw_byte_nj,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,energy_per_raw_byte_nj,0.11510238950214688740079365079365079365079365079365079365079365079365079365079365,0.028949416024344308035714285714285714285714285714285714285714285714285714285714286,-0.086152973477802579365079365079365079365079365079365079365079365079365079365079364,-74.848987801591778315206405515632724449698613713828943999215118645574646122800527,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:internal_mw,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,internal_mw,434.68,107.53,-327.15,-75.262261893806938437471243213398362013435170700285267323088248826723106653170148,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:inverter_cell_count,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,inverter_cell_count,196047,44803,-151244,-77.146806633103286456819028090202859518380796441669599636821782531739837896014731,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:leakage_mw,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,leakage_mw,26.292,7.6687,-18.6233,-70.832572645671687205233531112125361326639281910847406055073786703179674425680815,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:sequential_cell_count,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,sequential_cell_count,200572,50999,-149573,-74.573220589115130726123287398041601021079712023612468340546038330375127136389925,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:sequential_power_mw,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,sequential_power_mw,449.6,111.09,-338.51,-75.291370106761565836298932384341637010676156583629893238434163701067615658362989,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:switching_mw,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,switching_mw,0.9769318,1.4518,0.4748682,48.608121877084971540490339243742500755938132016994430931616720839673762283098984,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:total_mw,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,total_mw,461.95,116.65,-345.3,-74.74834938846195475700833423530685139084316484468016019049680701374607641519645,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
